player_id,name,firstname,lastname,photo,dob,age,nationality,height,weight,position,current_team,team_id,team_logo,last_season,kit_number
129682,A. Adli,Amine,Adli,https://media.api-sports.io/football/players/129682.png,2000-05-10,25.0,Morocco,174.0,72.0,Attacker,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,2025,21.0
367634,A. Agbinone,Asher Chris,Ofega Agbinone,https://media.api-sports.io/football/players/367634.png,2005-09-28,20.0,England,177.0,69.0,Midfielder,Crystal Palace,52,https://media.api-sports.io/football/teams/52.png,2024,
345107,A. Ahmed Fatah,Amar Abdirahman,Ahmed Fatah,https://media.api-sports.io/football/players/345107.png,2004-02-19,21.0,Sweden,180.0,73.0,Attacker,Manchester City,50,https://media.api-sports.io/football/teams/50.png,2024,
1949,A. Ahmedhodžić,Anel,Ahmedhodžić,https://media.api-sports.io/football/players/1949.png,1999-03-26,26.0,Bosnia and Herzegovina,190.0,84.0,Defender,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,2023,
323449,A. Al Dakhil,Ameen,Al Dakhil,https://media.api-sports.io/football/players/323449.png,2002-03-06,23.0,Belgium,188.0,81.0,Defender,Burnley,44,https://media.api-sports.io/football/teams/44.png,2023,
457731,A. Annous,Andre,Annous,https://media.api-sports.io/football/players/457731.png,2007-12-27,18.0,England,181.0,,Attacker,Arsenal,42,https://media.api-sports.io/football/teams/42.png,2025,71.0
422780,A. Anselmino,Aaron,Anselmino,https://media.api-sports.io/football/players/422780.png,2005-04-29,20.0,Argentina,186.0,83.0,Defender,Chelsea,49,https://media.api-sports.io/football/teams/49.png,2024,
253,A. Areola,Alphonse Francis,Areola,https://media.api-sports.io/football/players/253.png,1993-02-27,32.0,France,195.0,94.0,Goalkeeper,West Ham,48,https://media.api-sports.io/football/teams/48.png,2025,23.0
19484,A. Armstrong,Adam James,Armstrong,https://media.api-sports.io/football/players/19484.png,1997-02-10,28.0,England,172.0,69.0,Midfielder,Wolves,39,https://media.api-sports.io/football/teams/39.png,2025,9.0
1370,A. Ayew,André Morgan,Rami Ayew,https://media.api-sports.io/football/players/1370.png,1989-12-17,36.0,Ghana,175.0,70.0,Forward,Nottingham Forest,65,https://media.api-sports.io/football/teams/65.png,2022,
18927,A. Barnes,Ashley Luke,Barnes,https://media.api-sports.io/football/players/18927.png,1989-10-30,36.0,England,186.0,77.0,Attacker,Burnley,44,https://media.api-sports.io/football/teams/44.png,2025,35.0
50132,A. Bayındır,Altay,Bayındır,https://media.api-sports.io/football/players/50132.png,1998-04-14,27.0,Türkiye,198.0,88.0,Goalkeeper,Manchester United,33,https://media.api-sports.io/football/teams/33.png,2025,1.0
18858,A. Begović,Asmir,Begović,https://media.api-sports.io/football/players/18858.png,1987-06-20,38.0,Bosnia and Herzegovina,199.0,101.0,Goalkeeper,Everton,45,https://media.api-sports.io/football/teams/45.png,2024,
19466,A. Bell,Amari'i Kyren,Bell,https://media.api-sports.io/football/players/19466.png,1994-05-05,31.0,Jamaica,180.0,66.0,Defender,Luton,1359,https://media.api-sports.io/football/teams/1359.png,2023,
25061,A. Bella-Kotchap,Armel,Bella-Kotchap,https://media.api-sports.io/football/players/25061.png,2001-12-11,24.0,Germany,190.0,87.0,Defender,Southampton,41,https://media.api-sports.io/football/teams/41.png,2024,
199310,A. Ben Slimane,Anis,Ben Slimane,https://media.api-sports.io/football/players/199310.png,2001-03-16,24.0,Tunisia,188.0,86.0,Midfielder,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,2023,
138822,A. Broja,Armando,Broja,https://media.api-sports.io/football/players/138822.png,2001-09-10,24.0,Albania,191.0,83.0,Attacker,Burnley,44,https://media.api-sports.io/football/teams/44.png,2025,27.0
379150,A. Brooks,Andre,Chance Brooks,https://media.api-sports.io/football/players/379150.png,2003-08-20,22.0,England,180.0,,Midfielder,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,2023,
44922,A. Campbell,Allan,Campbell,https://media.api-sports.io/football/players/44922.png,1998-07-04,27.0,Scotland,174.0,73.0,Midfielder,Luton,1359,https://media.api-sports.io/football/teams/1359.png,2023,
197542,A. Castillo Manyoma,Alexis,Castillo Manyoma,https://media.api-sports.io/football/players/197542.png,2003-01-30,22.0,Colombia,169.0,69.0,Midfielder,Estudiantes L.P.,450,https://media.api-sports.io/football/teams/450.png,2024,
19772,A. Connolly,Aaron Anthony,Connolly,https://media.api-sports.io/football/players/19772.png,2000-01-28,25.0,Republic of Ireland,175.0,73.0,Attacker,Brighton,51,https://media.api-sports.io/football/teams/51.png,2023,
309501,A. Cozier-Duberry,Amario,Cozier-Duberry,https://media.api-sports.io/football/players/309501.png,2005-05-29,20.0,England,170.0,57.0,Midfielder,Arsenal,42,https://media.api-sports.io/football/teams/42.png,2024,
18813,A. Cresswell,Aaron William,Cresswell,https://media.api-sports.io/football/players/18813.png,1989-12-15,36.0,England,170.0,66.0,Defender,West Ham,48,https://media.api-sports.io/football/teams/48.png,2024,
83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,https://media.api-sports.io/football/players/83.png,1997-01-31,28.0,Netherlands,178.0,74.0,Attacker,Everton,45,https://media.api-sports.io/football/teams/45.png,2024,
19779,A. Davies,Adam Rhys,Davies,https://media.api-sports.io/football/players/19779.png,1992-07-17,33.0,Wales,185.0,75.0,Goalkeeper,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,2023,
273757,A. Devine,Alfie Sean,Devine,https://media.api-sports.io/football/players/273757.png,2004-08-01,21.0,England,182.0,75.0,Midfielder,Tottenham,47,https://media.api-sports.io/football/teams/47.png,2024,
157997,A. Diallo,Amad,Diallo Traoré,https://media.api-sports.io/football/players/157997.png,2002-07-11,23.0,Côte d'Ivoire,173.0,72.0,Attacker,Manchester United,33,https://media.api-sports.io/football/teams/33.png,2025,16.0
21998,A. Disasi,Axel Wilson Arthur,Disasi Mhakinis Belho,https://media.api-sports.io/football/players/21998.png,1998-03-11,27.0,France,190.0,83.0,Defender,West Ham,48,https://media.api-sports.io/football/teams/48.png,2025,4.0
311817,A. Dorrington,Alfie,Dorrington,https://media.api-sports.io/football/players/311817.png,2005-04-20,20.0,England,180.0,75.0,Defender,Tottenham,47,https://media.api-sports.io/football/teams/47.png,2024,
18805,A. Doucouré,Abdoulaye,Doucouré,https://media.api-sports.io/football/players/18805.png,1993-01-01,32.0,Mali,184.0,75.0,Midfielder,Everton,45,https://media.api-sports.io/football/teams/45.png,2024,
