player_id,age_squared,position,position_encoded,nationality
5,900.0,Defender,1,Switzerland
14,841.0,Midfielder,2,Germany
17,729.0,Midfielder,2,USA
18,625.0,Attacker,3,England
22,729.0,Attacker,3,Denmark
23,625.0,Attacker,3,Spain
44,841.0,Midfielder,2,Spain
49,1024.0,Midfielder,2,Ghana
54,1369.0,Attacker,3,Spain
62,900.0,Goalkeeper,0,USA
74,841.0,Midfielder,2,Morocco
76,961.0,Midfielder,2,Zimbabwe
80,784.0,Forward,3,Nigeria
83,784.0,Attacker,3,Netherlands
84,841.0,Attacker,3,Brazil
95,576.0,Defender,1,France
104,900.0,Forward,3,Brazil
105,784.0,Defender,1,Senegal
110,576.0,Midfielder,2,France
130,1024.0,Defender,1,Portugal
131,676.0,Defender,1,Spain
133,900.0,Defender,1,France
138,676.0,Defender,1,France
147,1089.0,Midfielder,2,Brazil
150,841.0,Midfielder,2,Brazil
158,1089.0,Goalkeeper,0,Argentina
159,1521.0,Goalkeeper,0,France
161,729.0,Goalkeeper,0,England
163,1089.0,Defender,1,Côte d'Ivoire
164,1024.0,Defender,1,Wales
168,841.0,Defender,1,Colombia
169,1225.0,Defender,1,England
171,784.0,Defender,1,England
172,841.0,Midfielder,2,England
174,1089.0,Midfielder,2,Denmark
175,961.0,Defender,1,England
178,1089.0,Attacker,3,Brazil
180,625.0,Midfielder,2,England
182,841.0,Midfielder,2,England
184,1024.0,Attacker,3,England
186,1089.0,Attacker,3,Korea Republic
190,1156.0,Defender,1,Portugal
207,1296.0,Attacker,3,Croatia
247,676.0,Midfielder,2,Netherlands
249,676.0,Attacker,3,Netherlands
250,676.0,Attacker,3,Netherlands
253,1024.0,Goalkeeper,0,France
259,1681.0,Defender,1,Brazil
261,841.0,Defender,1,Germany
263,1089.0,Defender,1,France
269,784.0,Attacker,3,France
277,676.0,Attacker,3,France
279,576.0,Defender,1,France
280,1089.0,Goalkeeper,0,Brazil
281,729.0,Goalkeeper,0,Republic of Ireland
283,729.0,Defender,1,England
284,784.0,Defender,1,England
285,529.0,Midfielder,2,Netherlands
286,1089.0,Defender,1,Cameroon
289,961.0,Defender,1,Scotland
290,1156.0,Defender,1,Netherlands
292,1225.0,Midfielder,2,England
293,576.0,Midfielder,2,England
294,900.0,Midfielder,2,Guinea
295,1369.0,Midfielder,2,England
296,1521.0,Midfielder,2,England
297,1024.0,Midfielder,2,England
299,1024.0,Midfielder,2,Brazil
302,1156.0,Attacker,3,Brazil
303,625.0,Attacker,3,England
305,900.0,Attacker,3,Belgium
306,1089.0,Midfielder,2,Egypt
318,1156.0,Defender,1,Senegal
326,1156.0,Midfielder,2,Brazil
371,1225.0,Defender,1,Brazil
378,1089.0,Defender,1,Brazil
415,729.0,Midfielder,2,USA
454,625.0,Forward,3,Türkiye
507,1089.0,Midfielder,2,Spain
526,841.0,Goalkeeper,0,Cameroon
532,676.0,Defender,1,Netherlands
533,784.0,Defender,1,Denmark
537,1089.0,Defender,1,Netherlands
542,529.0,Midfielder,2,Netherlands
545,784.0,Defender,1,Morocco
547,784.0,Midfielder,2,Netherlands
548,1024.0,Midfielder,2,Morocco
557,961.0,Goalkeeper,0,Greece
566,784.0,Defender,1,Portugal
567,784.0,Defender,1,Portugal
575,676.0,Midfielder,2,Portugal
583,676.0,Attacker,3,Portugal
616,729.0,Goalkeeper,0,Kosovo
617,1024.0,Goalkeeper,0,Brazil
622,961.0,Defender,1,Spain
623,961.0,Defender,1,France
626,961.0,Defender,1,England
627,1225.0,Defender,1,England
629,1156.0,Midfielder,2,Belgium
630,1089.0,Midfielder,2,England
631,625.0,Midfielder,2,England
632,625.0,Midfielder,2,France
633,1225.0,Midfielder,2,Germany
635,1156.0,Attacker,3,Algeria
636,961.0,Midfielder,2,Portugal
638,625.0,Attacker,3,England
641,841.0,Defender,1,Ukraine
643,784.0,Attacker,3,Brazil
645,961.0,Attacker,3,England
657,900.0,Defender,1,Netherlands
662,841.0,Midfielder,2,France
665,841.0,Attacker,3,Côte d'Ivoire
671,900.0,Attacker,3,Burkina Faso
691,625.0,Forward,3,Brazil
697,676.0,Attacker,3,Israel
723,841.0,Midfielder,2,Brazil
727,676.0,Attacker,3,England
731,1521.0,Goalkeeper,0,Costa Rica
739,841.0,Defender,1,Spain
742,961.0,Defender,1,France
746,900.0,Forward,3,Spain
747,1089.0,Midfielder,2,Brazil
766,1225.0,Goalkeeper,0,Sweden
786,676.0,Midfielder,2,Italy
792,676.0,Attacker,3,Netherlands
833,676.0,Defender,1,Slovenia
842,784.0,Midfielder,2,Croatia
855,961.0,Defender,1,Portugal
863,784.0,Midfielder,2,Uruguay
874,1600.0,Attacker,3,Portugal
879,729.0,Attacker,3,England
882,1225.0,Goalkeeper,0,Spain
883,1521.0,Goalkeeper,0,England
885,961.0,Defender,1,Côte d'Ivoire
886,676.0,Midfielder,2,Portugal
888,961.0,Defender,1,England
889,961.0,Defender,1,Sweden
891,900.0,Defender,1,England
894,1600.0,Defender,1,England
895,576.0,Defender,1,England
896,625.0,Midfielder,2,England
897,576.0,Attacker,3,England
899,841.0,Midfielder,2,Brazil
900,1089.0,Midfielder,2,England
903,841.0,Midfielder,2,Scotland
905,1024.0,Midfielder,2,Brazil
906,676.0,Midfielder,2,Netherlands
907,1024.0,Attacker,3,Belgium
908,900.0,Attacker,3,France
909,784.0,Attacker,3,England
912,1296.0,Goalkeeper,0,Brazil
925,841.0,Attacker,3,Portugal
930,784.0,Midfielder,2,Spain
935,1156.0,Attacker,3,Spain
946,900.0,Defender,1,Switzerland
978,676.0,Attacker,3,Germany
983,784.0,Midfielder,2,Jamaica
1003,729.0,Midfielder,2,Kosovo
1093,576.0,Midfielder,2,Zambia
1096,625.0,Midfielder,2,Hungary
1098,729.0,Attacker,3,Zambia
1100,625.0,Attacker,3,Norway
1117,784.0,Defender,1,Scotland
1119,729.0,Defender,1,Norway
1125,900.0,Midfielder,2,Scotland
1131,529.0,Attacker,3,Republic of Ireland
1135,729.0,Attacker,3,France
1145,676.0,Defender,1,France
1146,784.0,Defender,1,France
1150,676.0,Midfielder,2,USA
1159,961.0,Midfielder,2,Austria
1161,625.0,Midfielder,2,England
1165,676.0,Attacker,3,Brazil
1166,841.0,Attacker,3,Germany
1231,1089.0,Defender,1,Czechia
1243,900.0,Midfielder,2,Czechia
1330,1089.0,Forward,3,Croatia
1361,676.0,Defender,1,Türkiye
1370,1296.0,Forward,3,Ghana
1408,676.0,Defender,1,Belgium
1411,676.0,Defender,1,Belgium
1422,529.0,Attacker,3,Belgium
1427,676.0,Midfielder,2,Belgium
1438,1089.0,Goalkeeper,0,Germany
1439,900.0,Defender,1,Spain
1440,900.0,Defender,1,England
1445,784.0,Defender,1,Greece
1452,1089.0,Midfielder,2,Egypt
1455,841.0,Midfielder,2,Nigeria
1456,784.0,Midfielder,2,England
1460,576.0,Attacker,3,England
1463,676.0,Midfielder,2,England
1464,1089.0,Midfielder,2,Switzerland
1465,1296.0,Attacker,3,Gabon
1468,676.0,Attacker,3,England
1469,1225.0,Attacker,3,England
1485,961.0,Midfielder,2,Portugal
1558,1225.0,Goalkeeper,0,Spain
1564,841.0,Defender,1,Spain
1566,676.0,Defender,1,Brazil
1578,841.0,Midfielder,2,Argentina
1590,1024.0,Goalkeeper,0,Portugal
1600,841.0,Defender,1,Greece
1605,900.0,Attacker,3,Portugal
1622,676.0,Goalkeeper,0,Italy
1646,784.0,Attacker,3,Brazil
1649,729.0,Attacker,3,Italy
1696,676.0,Attacker,3,Nigeria
1697,841.0,Midfielder,2,Spain
1736,1156.0,Goalkeeper,0,England
1746,841.0,Defender,1,England
1835,900.0,Goalkeeper,0,Albania
1853,729.0,Midfielder,2,Portugal
1864,625.0,Midfielder,2,Portugal
1902,841.0,Defender,1,Croatia
1904,676.0,Midfielder,2,France
1914,961.0,Midfielder,2,France
1934,729.0,Midfielder,2,Norway
1946,961.0,Attacker,3,Belgium
1949,676.0,Defender,1,Bosnia and Herzegovina
1972,1024.0,Goalkeeper,0,Germany
2028,625.0,Midfielder,2,Mali
2032,625.0,Attacker,3,Norway
2048,729.0,Defender,1,Austria
2056,1089.0,Midfielder,2,Spain
2061,576.0,Attacker,3,Spain
2109,841.0,Midfielder,2,Congo DR
2114,729.0,Forward,3,Mali
2165,676.0,Defender,1,Ukraine
2218,729.0,Attacker,3,Senegal
2273,961.0,Goalkeeper,0,Spain
2275,1764.0,Goalkeeper,0,Argentina
2276,676.0,Goalkeeper,0,England
2278,1225.0,Defender,1,Spain
2279,625.0,Midfielder,2,Wales
2280,1296.0,Defender,1,Spain
2281,1369.0,Defender,1,England
2284,961.0,Defender,1,Italy
2287,1024.0,Midfielder,2,England
2288,1024.0,Midfielder,2,England
2289,1156.0,Midfielder,2,Italy
2290,1156.0,Midfielder,2,France
2291,961.0,Midfielder,2,Croatia
2292,841.0,Midfielder,2,England
2294,1369.0,Attacker,3,Brazil
2298,625.0,Midfielder,2,England
2413,784.0,Attacker,3,Brazil
2461,1296.0,Attacker,3,Venezuela
2467,729.0,Defender,1,Argentina
2468,784.0,Defender,1,Argentina
2473,1024.0,Midfielder,2,Argentina
2476,961.0,Midfielder,2,Argentina
2484,961.0,Defender,1,Colombia
2489,784.0,Attacker,3,Colombia
2490,961.0,Midfielder,2,Colombia
2507,961.0,Midfielder,2,Paraguay
2549,1024.0,Goalkeeper,0,Chile
2597,729.0,Defender,1,Japan
2601,841.0,Attacker,3,Japan
2676,784.0,Midfielder,2,Portugal
2677,1521.0,Midfielder,2,Portugal
2678,841.0,Attacker,3,Portugal
2699,1024.0,Attacker,3,Iran
2724,1024.0,Defender,1,France
2726,961.0,Defender,1,France
2729,841.0,Defender,1,Denmark
2731,1225.0,Defender,1,Denmark
2734,841.0,Midfielder,2,Denmark
2735,900.0,Midfielder,2,Denmark
2752,1089.0,Midfielder,2,Australia
2771,841.0,Defender,1,Nigeria
2778,841.0,Attacker,3,Nigeria
2784,900.0,Goalkeeper,0,Iceland
2790,1225.0,Attacker,3,Iceland
2806,1156.0,Defender,1,Switzerland
2807,1089.0,Midfielder,2,Switzerland
2810,841.0,Midfielder,2,Switzerland
2817,784.0,Defender,1,Serbia
2823,841.0,Midfielder,2,Serbia
2825,961.0,Attacker,3,Serbia
2852,961.0,Defender,1,Sweden
2855,961.0,Defender,1,Sweden
2864,676.0,Attacker,3,Sweden
2869,784.0,Midfielder,2,Mexico
2887,1156.0,Attacker,3,Mexico
2910,1089.0,Forward,3,Korea Republic
2919,1089.0,Goalkeeper,0,Belgium
2920,900.0,Defender,1,Belgium
2922,900.0,Midfielder,2,Belgium
2925,961.0,Midfielder,2,Belgium
2926,784.0,Midfielder,2,Belgium
2927,1024.0,Forward,3,Belgium
2928,1225.0,Attacker,3,Belgium
2930,1024.0,Goalkeeper,0,England
2931,1521.0,Goalkeeper,0,England
2932,961.0,Goalkeeper,0,England
2933,841.0,Defender,1,England
2934,1024.0,Defender,1,England
2935,1024.0,Defender,1,England
2936,1089.0,Defender,1,England
2937,676.0,Midfielder,2,England
2938,961.0,Midfielder,2,England
2939,1089.0,Attacker,3,England
2952,841.0,Defender,1,Tunisia
2986,1089.0,Goalkeeper,0,Senegal
2990,1296.0,Midfielder,2,Senegal
2991,1225.0,Midfielder,2,Senegal
2997,1600.0,Goalkeeper,0,Poland
2999,841.0,Defender,1,Poland
3008,1225.0,Midfielder,2,Poland
3080,841.0,Attacker,3,Zimbabwe
3240,900.0,Defender,1,Côte d'Ivoire
3246,900.0,Forward,3,Côte d'Ivoire
3247,1089.0,Forward,3,Côte d'Ivoire
3339,625.0,Midfielder,2,Mali
3421,961.0,Defender,1,Ghana
3428,1156.0,Attacker,3,Ghana
5996,576.0,Midfielder,2,Argentina
6009,625.0,Attacker,3,Argentina
6056,729.0,Midfielder,2,Argentina
6168,841.0,Defender,1,Paraguay
6610,784.0,Defender,1,Argentina
6716,729.0,Midfielder,2,Argentina
7029,625.0,Goalkeeper,0,Australia
7600,729.0,Defender,1,Brazil
7722,784.0,Attacker,3,Austria
8471,1089.0,Goalkeeper,0,Belgium
8500,1024.0,Midfielder,2,Japan
8589,784.0,Attacker,3,Belgium
8598,784.0,Attacker,3,Nigeria
8661,676.0,Defender,1,Brazil
8694,729.0,Defender,1,Belgium
8794,676.0,Attacker,3,England
9366,576.0,Attacker,3,Brazil
9926,961.0,Midfielder,2,Brazil
9971,625.0,Attacker,3,Brazil
10122,729.0,Defender,1,Brazil
10135,784.0,Midfielder,2,Brazil
10169,676.0,Midfielder,2,Brazil
10329,576.0,Attacker,3,Brazil
10373,729.0,Goalkeeper,0,Brazil
13109,1225.0,Attacker,3,Nigeria
13489,484.0,Forward,3,Colombia
13708,784.0,Midfielder,2,Colombia
13736,841.0,Midfielder,2,Colombia
14206,484.0,Midfielder,2,Costa Rica
14382,900.0,Goalkeeper,0,Croatia
15632,784.0,Defender,1,Denmark
15745,676.0,Defender,1,Denmark
