feature,importance
age_squared,0.089965895
injuries_last_24_months,0.06599201
upcoming_matches_next_14d,0.060266256
avg_minutes_per_match_30d,0.05741886
position_encoded,0.0563131
injuries_last_12_months,0.04756806
days_since_last_injury,0.03613583
longest_injury_days,0.034915205
same_region_recurrence_flag,0.032772098
minutes_last_30d,0.029723275
fouls_committed_per_90_rolling,0.028129984
recovery_trend,0.02678656
recurring_injury_flag,0.025011886
career_total_injuries,0.02476677
tackles_per_90_rolling,0.02369568
days_since_intl_break,0.021154137
days_missed_last_12_months,0.019090936
muscle_injuries_last_24m,0.017790925
avg_recovery_days,0.016901081
days_since_last_muscle_injury,0.015766121
appearances_pace,0.015650028
dribbles_per_90_rolling,0.01552754
minutes_vs_last_season,0.014197056
minutes_missed_this_season,0.014059809
duels_per_90_rolling,0.014043957
days_missed_last_24_months,0.013867783
duels_per_90_vs_last_season,0.013548034
matches_last_30d,0.01340929
injuries_this_season,0.013242905
matches_missed_this_season,0.013112892
acute_chronic_ratio,0.012539236
knee_injuries_last_24m,0.012347799
workload_trend,0.012256801
days_since_last_knee_injury,0.012203558
ankle_injuries_last_24m,0.012054142
consecutive_90min_starts,0.011124536
days_since_last_match,0.011013488
minutes_last_7d,0.010785391
is_recently_returned,0.010769362
fouls_against_per_90_rolling,0.00905829
match_density_14d,0.0079341475
matches_last_14d,0.0070892456
long_gap_before_match,0.0
in_intl_break_window,0.0
is_acwr_danger_zone,0.0
